<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.06.24	24.40	24.40	23.38	24.00	2741	0	0
2013.06.25	24.08	24.43	24.04	24.18	2014	0	0
2013.06.26	24.25	24.65	23.99	24.14	2269	0	0
2013.06.27	24.09	24.84	24.08	24.68	2286	0	0
2013.06.28	24.65	24.98	24.42	24.80	2521	0	0
2013.07.01	24.99	25.06	24.62	24.85	2111	0	0
2013.07.02	24.74	24.90	24.30	24.41	2000	0	0
2013.07.03	24.16	24.71	24.10	24.48	1327	0	0
2013.07.05	24.55	24.78	24.20	24.40	2041	0	0
2013.07.08	24.45	25.04	24.30	24.74	2236	0	0
2013.07.09	24.85	25.65	24.80	25.63	2486	0	0
2013.07.10	25.60	25.95	25.43	25.94	2151	0	0
2013.07.11	26.00	26.22	25.45	25.81	2229	0	0
2013.07.12	25.85	25.97	25.55	25.85	1853	0	0
2013.07.15	25.90	26.43	25.65	26.28	2124	0	0
2013.07.16	26.19	26.75	26.01	26.35	2418	0	0
2013.07.17	26.23	26.78	26.23	26.67	1894	0	0
2013.07.18	26.68	26.83	25.77	25.77	2290	0	0
2013.07.19	25.87	26.14	25.60	25.93	2346	0	0
2013.07.22	25.99	26.13	25.72	26.05	2089	0	0
2013.07.23	26.07	26.37	25.97	26.28	2043	0	0
2013.07.24	26.26	31.98	26.05	30.95	12215	0	0
2013.07.25	30.89	35.00	30.67	34.40	11636	0	0
2013.07.26	35.00	35.00	33.56	34.00	4932	0	0
2013.07.29	33.86	35.63	33.80	35.57	4232	0	0
2013.07.30	35.94	37.96	35.18	37.68	6665	0	0
2013.07.31	37.85	38.31	36.33	36.97	6635	0	0
2013.08.01	37.10	38.29	36.78	37.55	5433	0	0
2013.08.02	37.60	38.49	37.38	38.05	4415	0	0
2013.08.05	38.28	39.32	38.20	39.29	4206	0	0
2013.08.06	37.90	39.37	37.90	38.33	4293	0	0
2013.08.07	38.23	39.00	37.70	38.95	4898	0	0
2013.08.08	38.99	39.30	38.43	38.62	3519	0	0
2013.08.09	38.58	38.74	38.01	38.55	3419	0	0
